repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
trailofbits/cast2gif,7.00 ,2.00 ,2.00 ,0.00 ,0.00 ,Python
Orbiter/MetaGer,749.00 ,0.00 ,2.00 ,0.00 ,2.00 ,NULL
florinpop17/frontend-mentor-challenges,262.00 ,91.00 ,2.00 ,1.00 ,0.00 ,CSS
iamshaunjp/Customizing-Bootstrap-5,21.00 ,7.00 ,2.00 ,0.00 ,0.00 ,NULL
iamshaunjp/CSS-Tips-and-Tricks,60.00 ,52.00 ,2.00 ,1.00 ,0.00 ,NULL
ducc/DubTrack4J,1.00 ,3.00 ,2.00 ,0.00 ,3.00 ,Java
iamshaunjp/angular-2-playlist,31.00 ,49.00 ,2.00 ,0.00 ,0.00 ,CSS
Anurag5086/MentHealth,4.00 ,4.00 ,2.00 ,0.00 ,2.00 ,NULL
Anurag5086/Portfolio-website-themes,1.00 ,8.00 ,2.00 ,0.00 ,8.00 ,HTML
rijusougata13/movie-recommender,1.00 ,1.00 ,2.00 ,0.00 ,2.00 ,HTML
norbusan/jfontmaps,434.00 ,1.00 ,2.00 ,0.00 ,3.00 ,Perl
norbusan/cinnadock-p2,439.00 ,1.00 ,2.00 ,0.00 ,0.00 ,JavaScript
Anuj-Kumar-Sharma/Social-App,48.00 ,38.00 ,2.00 ,1.00 ,0.00 ,Kotlin
ritwickdey/ritwickdey.github.io,83.00 ,21.00 ,2.00 ,25.00 ,0.00 ,TypeScript
trailofbits/cvedb,12.00 ,4.00 ,2.00 ,1.00 ,3.00 ,Python
LiveOverflow/ctf,13.00 ,4.00 ,2.00 ,0.00 ,0.00 ,NULL
iamshaunjp/bootstrap-5-tutorial,146.00 ,148.00 ,2.00 ,1.00 ,0.00 ,NULL
IonicaBizau/ajs,21.00 ,6.00 ,2.00 ,0.00 ,2.00 ,JavaScript
artkirienko/n-th_longest,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,C++
artkirienko/final-html-css,1.00 ,0.00 ,2.00 ,1.00 ,0.00 ,CSS
IonicaBizau/add-subtract-date,7.00 ,1.00 ,2.00 ,0.00 ,0.00 ,JavaScript
jishanshaikh4/CSE-219-Principles-of-Programming-Languages,17.00 ,0.00 ,2.00 ,0.00 ,0.00 ,C++
jishanshaikh4/CSE-229-PHP-Laboratory,16.00 ,0.00 ,2.00 ,0.00 ,0.00 ,Hack
asweigart/automatetheboringstuffwithpythondotcom,63.00 ,37.00 ,2.00 ,5.00 ,0.00 ,HTML
iamshaunjp/complete-sass-tutorial,121.00 ,110.00 ,2.00 ,1.00 ,0.00 ,NULL
LiveOverflow/NECAnalyzer,44.00 ,17.00 ,2.00 ,0.00 ,0.00 ,C++
karar189/Music-App,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,JavaScript
PawanKolhe/C-Algorithms,59.00 ,52.00 ,2.00 ,7.00 ,36.00 ,C
PawanKolhe/amizone-fetch-api,4.00 ,2.00 ,2.00 ,0.00 ,0.00 ,JavaScript
eugenioclrc/binance-crypto-triangular-arbitrage,226.00 ,93.00 ,2.00 ,1.00 ,0.00 ,JavaScript
rogeriopvl/gulp-ejs,86.00 ,34.00 ,2.00 ,16.00 ,16.00 ,JavaScript
shazow/clicker.go,4.00 ,0.00 ,2.00 ,0.00 ,0.00 ,Go
shazow/apiclient,87.00 ,19.00 ,2.00 ,2.00 ,6.00 ,Python
iamshaunjp/data-ui-with-d3-firebase,162.00 ,151.00 ,2.00 ,0.00 ,0.00 ,NULL
nikhilkumarsingh/globTut,3.00 ,2.00 ,2.00 ,0.00 ,0.00 ,Jupyter Notebook
harryadel/blastjs,9.00 ,1.00 ,2.00 ,0.00 ,2.00 ,JavaScript
AnmolTomer/ml_bootcamp_udemy,6.00 ,6.00 ,2.00 ,0.00 ,2.00 ,Jupyter Notebook
iamshaunjp/Customizing-Bootstrap-5,21.00 ,7.00 ,2.00 ,0.00 ,0.00 ,NULL
iamshaunjp/CSS-Tips-and-Tricks,60.00 ,52.00 ,2.00 ,1.00 ,0.00 ,NULL
lmgonzalves/pieces,220.00 ,22.00 ,2.00 ,0.00 ,0.00 ,JavaScript
iamshaunjp/complete-sass-tutorial,121.00 ,110.00 ,2.00 ,1.00 ,0.00 ,NULL
kerrishotts/cordova-plugin-ios-launch-screen,3.00 ,1.00 ,2.00 ,0.00 ,0.00 ,JavaScript
lmgonzalves/segment,0.00 ,101.00 ,2.00 ,0.00 ,0.00 ,CSS
EddieHubCommunity/Hackathons,23.00 ,25.00 ,2.00 ,0.00 ,26.00 ,Java
iamshaunjp/bootstrap-5-tutorial,146.00 ,148.00 ,2.00 ,1.00 ,0.00 ,NULL
ankushKun/animedoro-timer,32.00 ,8.00 ,2.00 ,0.00 ,5.00 ,HTML
dcbuild3r/blockchain-development-guide,0.00 ,118.00 ,2.00 ,0.00 ,13.00 ,NULL
iamshaunjp/angular-2-playlist,31.00 ,49.00 ,2.00 ,0.00 ,0.00 ,CSS
taranjeet/everything-else,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,NULL
jasineri/gitartwork,183.00 ,32.00 ,2.00 ,5.00 ,3.00 ,NULL
casatwy/CTPersistance,742.00 ,156.00 ,2.00 ,1.00 ,9.00 ,Objective-C
iamshaunjp/flutter-animations,90.00 ,76.00 ,2.00 ,0.00 ,0.00 ,NULL
avikalpg/avikalpg.github.io,1.00 ,0.00 ,2.00 ,0.00 ,0.00 ,Roff
justinshenk/gitcommit,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,JavaScript
AnirudhDagar/gh-tracker,15.00 ,0.00 ,2.00 ,0.00 ,2.00 ,JavaScript
jgthms/bulma-versions,7.00 ,4.00 ,2.00 ,12.00 ,0.00 ,HTML
mattgallagher/CwlPreconditionTesting,157.00 ,39.00 ,2.00 ,0.00 ,7.00 ,Swift
jhonsnow456/Flutter-Apps-Project,5.00 ,0.00 ,2.00 ,0.00 ,0.00 ,Dart
avikalpg/github-profile,2.00 ,1.00 ,2.00 ,1.00 ,0.00 ,NULL
mattgallagher/CwlDemangle,112.00 ,25.00 ,2.00 ,1.00 ,6.00 ,Swift
ducc/ducclang,0.00 ,1.00 ,2.00 ,1.00 ,0.00 ,JavaScript
gabrielfalcao/couleur,41.00 ,3.00 ,2.00 ,1.00 ,2.00 ,Python
mattgallagher/CwlUtils,581.00 ,65.00 ,2.00 ,1.00 ,9.00 ,Swift
dylanbeattie/Confocal,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,CSS
carloscuesta/carloscuesta.me,39.00 ,7.00 ,2.00 ,0.00 ,7.00 ,JavaScript
marcel-dempers/cpu-performance-analysis,22.00 ,22.00 ,2.00 ,1.00 ,0.00 ,Shell
carloscuesta/starterkit,88.00 ,13.00 ,2.00 ,0.00 ,3.00 ,JavaScript
trailofbits/appjaillauncher-rs,97.00 ,14.00 ,2.00 ,0.00 ,4.00 ,Rust
priyanshumaitra/ccp-assignments,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,C++
IonicaBizau/animato.js,5.00 ,0.00 ,2.00 ,1.00 ,0.00 ,JavaScript
Vectorized/Solidity-Code-Reviews,1.00 ,0.00 ,1.00 ,3.00 ,0.00 ,NULL
ali123321123/Kids-Math-App,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Java
Vectorized/VoxNet-Tensorflow,10.00 ,7.00 ,1.00 ,0.00 ,0.00 ,Python
codophobia/Multi-Client-Server-Chat,14.00 ,17.00 ,1.00 ,0.00 ,0.00 ,C
K-avin/movie-streaming-app,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
vivekweb2013/commandhunt,9.00 ,1.00 ,1.00 ,0.00 ,3.00 ,Java
sayakpaul/Breast-Cancer-Detection-using-Deep-Learning,28.00 ,24.00 ,1.00 ,0.00 ,0.00 ,Jupyter Notebook
MrTwinkleSharma/eCommerce,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
Vectorized/Python-KD-Tree,105.00 ,26.00 ,1.00 ,0.00 ,0.00 ,Python
lynxerzhang/AS3Util,3.00 ,1.00 ,1.00 ,0.00 ,0.00 ,ActionScript
Priyansh19077/ColorSwtichClone,5.00 ,3.00 ,1.00 ,0.00 ,2.00 ,Java
beatak/each_html_char-js,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
stemount/community,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
loveBabbar/ProgressTracker,10.00 ,2.00 ,1.00 ,0.00 ,0.00 ,Java
ducc/egg,14.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Go
ducc/a2-coursework,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
siddhi-244/Embellish,39.00 ,99.00 ,1.00 ,0.00 ,55.00 ,HTML
hpaez/problemas-competencias,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,Java
Anuj-Kumar-Sharma/Rubiks_cube_Solver,26.00 ,8.00 ,1.00 ,0.00 ,0.00 ,Java
Anuj-Kumar-Sharma/GitLearningRepo,10.00 ,4.00 ,1.00 ,0.00 ,0.00 ,Python
Anuj-Kumar-Sharma/First-Contribution,17.00 ,0.00 ,1.00 ,567.00 ,4.00 ,NULL
Anuj-Kumar-Sharma/Firebook,30.00 ,29.00 ,1.00 ,3.00 ,0.00 ,Java
Anuj-Kumar-Sharma/Dad-Jokes-Chrome-Extension,29.00 ,26.00 ,1.00 ,0.00 ,0.00 ,HTML
iliyass-zamouri/flutter_agenda,3.00 ,2.00 ,1.00 ,0.00 ,0.00 ,Dart
oliveeyay/EtherTracker,4.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Kotlin
ljharb/call-bind,5.00 ,3.00 ,1.00 ,0.00 ,0.00 ,JavaScript
ljharb/big-integer-min,2.00 ,2.00 ,1.00 ,0.00 ,0.00 ,JavaScript
ljharb/big-integer-max,3.00 ,0.00 ,1.00 ,0.00 ,2.00 ,JavaScript
ljharb/actions,7.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
kerrishotts/cordova-template-webpack-ts-scss,4.00 ,1.00 ,1.00 ,0.00 ,0.00 ,JavaScript
kerrishotts/cordova-template-webpack-babel-scss,6.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
kerrishotts/cordova-keyboard-example,15.00 ,0.00 ,1.00 ,0.00 ,0.00 ,CSS
YashKandalkar/Collabora,3.00 ,1.00 ,1.00 ,0.00 ,0.00 ,JavaScript
nikhilkumarsingh/glitch-test,1.00 ,6.00 ,1.00 ,0.00 ,0.00 ,Shell
nikhilkumarsingh/discovering-hidden-apis,7.00 ,11.00 ,1.00 ,0.00 ,0.00 ,Jupyter Notebook
nikhilkumarsingh/clix,15.00 ,34.00 ,1.00 ,0.00 ,3.00 ,Python
nikhilkumarsingh/async-http-requests-tut,38.00 ,25.00 ,1.00 ,1.00 ,0.00 ,Python
vicky002/CodeChef-API,6.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
vicky002/charmander,7.00 ,0.00 ,1.00 ,0.00 ,2.00 ,Python
RamyaChinnadurai/intro-react,1.00 ,0.00 ,1.00 ,0.00 ,5.00 ,JavaScript
felangel/codemagic_bloc_unit_tests,12.00 ,15.00 ,1.00 ,0.00 ,0.00 ,Dart
felangel/bloc_todos,6.00 ,6.00 ,1.00 ,1.00 ,0.00 ,Dart
Anuj-Kumar-Sharma/Meme-Share,32.00 ,35.00 ,1.00 ,4.00 ,0.00 ,Kotlin
QAInsights/.new-shortcuts-domain-list,7.00 ,2.00 ,1.00 ,1.00 ,0.00 ,NULL
kunal-kushwaha/16JanGitWorkshop,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
QAInsights/Academy-Discussions,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
cblecker/cluster-api-provider-jira,5.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Go
vaananart/codeql-uboot,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,CodeQL
rupa/j2,240.00 ,23.00 ,1.00 ,2.00 ,2.00 ,Python
rupa/cuecat,25.00 ,3.00 ,1.00 ,2.00 ,2.00 ,JavaScript
mscoutermarsh/AddEvent-Ruby,5.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Ruby
ForrestPi/deepfakeDetection,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
feross/chunk-store-stream,24.00 ,8.00 ,1.00 ,2.00 ,5.00 ,JavaScript
feross/chrome-net,131.00 ,26.00 ,1.00 ,0.00 ,12.00 ,JavaScript
feross/capture-frame,112.00 ,10.00 ,1.00 ,0.00 ,2.00 ,JavaScript
feross/blob-to-buffer,68.00 ,12.00 ,1.00 ,1.00 ,5.00 ,JavaScript
studiomohawk/js-testing-boilerplates,12.00 ,14.00 ,1.00 ,0.00 ,0.00 ,JavaScript
studiomohawk/jekyll-theme-the_minimum,42.00 ,10.00 ,1.00 ,1.00 ,0.00 ,Ruby
studiomohawk/FiveCast,3.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Shell
IonicaBizau/asciify-pixel,3.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
IonicaBizau/ama,17.00 ,3.00 ,1.00 ,0.00 ,3.00 ,NULL
droy312/droy-hacktoberfest2020,1.00 ,2.00 ,1.00 ,2.00 ,2.00 ,C++
droy312/cpp_code2,1.00 ,4.00 ,1.00 ,1.00 ,4.00 ,C++
gunnarmorling/awesome-opensource-data-engineering,790.00 ,144.00 ,1.00 ,1.00 ,20.00 ,NULL
Luis-Miguel1/github-slideshow,0.00 ,0.00 ,1.00 ,0.00 ,8.00 ,Ruby
amacgregor/epub_parser,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Elixir
amacgregor/crimson_commerce,72.00 ,11.00 ,1.00 ,31.00 ,3.00 ,Elixir
amacgregor/allanmacgregor,0.00 ,0.00 ,1.00 ,1.00 ,4.00 ,JavaScript
SauravMukherjee44/Portfolio-Saurav-Mukherjee,37.00 ,18.00 ,1.00 ,0.00 ,2.00 ,CSS
Errichto/convex-hull-of-dynamic-set,10.00 ,7.00 ,1.00 ,0.00 ,0.00 ,C++
shradha-khapra/software-product-sprint-2020,8.00 ,1.00 ,1.00 ,8.00 ,16.00 ,Java
manjurulhoque/android-scheduler,5.00 ,2.00 ,1.00 ,0.00 ,0.00 ,Java
PoojaB26/AwesomeFlutterPlaylist,339.00 ,110.00 ,1.00 ,0.00 ,3.00 ,NULL
Pavel401/LogIn-UI,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,Dart
shubhamkarande13/1stRepo,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,HTML
robertsdionne/neural-network-papers,0.00 ,377.00 ,1.00 ,0.00 ,2.00 ,JavaScript
Swayms-stack/Python-Programs,2.00 ,1.00 ,1.00 ,0.00 ,2.00 ,Jupyter Notebook
ayan2809/Go-Back-N-ARQ-,5.00 ,3.00 ,1.00 ,0.00 ,0.00 ,Python
avikalpg/POPL,37.00 ,13.00 ,1.00 ,0.00 ,3.00 ,Oz
yessine-agrebi/Interactive-pricing-compnent,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,CSS
danger-ahead/flutter_dictionary,5.00 ,0.00 ,1.00 ,0.00 ,2.00 ,Dart
danger-ahead/flutter_dev_folio,24.00 ,8.00 ,1.00 ,1.00 ,2.00 ,Dart
savannahar68/Firefox-Assistant-Anna-,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
ethereum/cable,30.00 ,15.00 ,1.00 ,1.00 ,2.00 ,CMake
ethereum/asyncio-cancel-token,9.00 ,7.00 ,1.00 ,0.00 ,5.00 ,Python
Daniel-Bessa/NavMenu,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
davglass/builder,3.00 ,57.00 ,1.00 ,0.00 ,0.00 ,JavaScript
dwij2812/Grain-Monitoring-System-Using-LoRaWAN-Webapp,1.00 ,0.00 ,1.00 ,0.00 ,2.00 ,HTML
dwij2812/Accord-Checkout,0.00 ,0.00 ,1.00 ,10.00 ,3.00 ,HTML
arogozhnikov/3d_nn,166.00 ,34.00 ,1.00 ,0.00 ,0.00 ,JavaScript
hiranmayee98/github-slideshow,0.00 ,0.00 ,1.00 ,3.00 ,8.00 ,Ruby
0zul/canvamoji,2.00 ,0.00 ,1.00 ,1.00 ,0.00 ,JavaScript
codingkush/github-upload,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
MrToph/eos-pay-for-user-cpu-example,10.00 ,8.00 ,1.00 ,4.00 ,0.00 ,TypeScript
D3xter1922/FirstReactWebApp,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,JavaScript
manjurulhoque/angular-task,0.00 ,0.00 ,1.00 ,20.00 ,2.00 ,HTML
lmorchard/arboretum,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,JavaScript
asweigart/asciiartjsondb,7.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
shradha-khapra/Apni-Kaksha-Demo-Tasks,7.00 ,21.00 ,1.00 ,9.00 ,3.00 ,NULL
ralexstokes/cargo-template,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Rust
shradha-khapra/ApnaCollege-Java,60.00 ,35.00 ,1.00 ,0.00 ,0.00 ,Java
btholt/complete-intro-to-realtime,62.00 ,25.00 ,1.00 ,4.00 ,3.00 ,JavaScript
btholt/complete-intro-to-linux-and-the-cli,303.00 ,93.00 ,1.00 ,27.00 ,9.00 ,JavaScript
btholt/complete-intro-to-databases,147.00 ,55.00 ,1.00 ,11.00 ,10.00 ,JavaScript
btholt/btholt.github.io,7.00 ,10.00 ,1.00 ,1.00 ,0.00 ,CSS
RonLek/C-AWARE,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
RonLek/Alive,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,C++
WhiteHouse/mobile-policy,3.00 ,8.00 ,1.00 ,1.00 ,0.00 ,CSS
WhiteHouse/choropleth_dataset,3.00 ,11.00 ,1.00 ,2.00 ,4.00 ,JavaScript
douglascrockford/TDOP,146.00 ,32.00 ,1.00 ,0.00 ,2.00 ,HTML
douglascrockford/Programma,99.00 ,15.00 ,1.00 ,0.00 ,0.00 ,NULL
douglascrockford/JSON-js,0.00 ,0.00 ,1.00 ,3.00 ,0.00 ,JavaScript
douglascrockford/JSON-c,104.00 ,33.00 ,1.00 ,0.00 ,0.00 ,C
douglascrockford/fash,29.00 ,6.00 ,1.00 ,0.00 ,0.00 ,Assembly
AnmolTomer/ejs_projects,2.00 ,0.00 ,1.00 ,14.00 ,2.00 ,JavaScript
Mitesh411/hello-github-actions,0.00 ,0.00 ,1.00 ,0.00 ,3.00 ,Dockerfile
Mitesh411/apache-jmeter,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
jhonsnow456/Tkinter-Collections,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
jhonsnow456/ML-Algorithms,2.00 ,5.00 ,1.00 ,0.00 ,0.00 ,Jupyter Notebook
jhonsnow456/CLI-RPG-Game,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
jhonsnow456/Blog-App,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
LiveOverflow/lo_nintendoswitch,196.00 ,26.00 ,1.00 ,1.00 ,0.00 ,HTML
LiveOverflow/CTFnotes,5.00 ,1.00 ,1.00 ,0.00 ,0.00 ,NULL
sayakpaul/Benchmarking-and-MLI-experiments-on-the-Adult-dataset,35.00 ,12.00 ,1.00 ,0.00 ,0.00 ,Jupyter Notebook
smaranjitghose/ArtCV,47.00 ,36.00 ,1.00 ,1.00 ,12.00 ,Jupyter Notebook
localstack/localstack-packaged-cli,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Makefile
tobie/async-it,6.00 ,1.00 ,1.00 ,0.00 ,2.00 ,JavaScript
taniarascia/chip8,363.00 ,37.00 ,1.00 ,1.00 ,4.00 ,JavaScript
taniarascia/memory,96.00 ,37.00 ,1.00 ,1.00 ,5.00 ,JavaScript
taniarascia/node-api-postgres,85.00 ,52.00 ,1.00 ,2.00 ,3.00 ,JavaScript
taniarascia/pdo,216.00 ,183.00 ,1.00 ,0.00 ,2.00 ,PHP
iamakshat01/e-gurukul,0.00 ,2.00 ,1.00 ,0.00 ,3.00 ,JavaScript
iamakshat01/markdown-portfolio,0.00 ,0.00 ,1.00 ,0.00 ,4.00 ,NULL
aviaryan/Ahk-CI-Example,14.00 ,1.00 ,1.00 ,1.00 ,0.00 ,AutoHotkey
aviaryan/alfred-clc,16.00 ,1.00 ,1.00 ,1.00 ,0.00 ,Shell
aviaryan/alfred-last2imgur,14.00 ,1.00 ,1.00 ,1.00 ,2.00 ,Shell
aviaryan/chattt,248.00 ,20.00 ,1.00 ,0.00 ,0.00 ,JavaScript
aviaryan/CloseFolder,9.00 ,2.00 ,1.00 ,0.00 ,0.00 ,Python
nikita9604/Blogging-Website-using-Flask,2.00 ,3.00 ,1.00 ,0.00 ,0.00 ,HTML
PremChapagain/premchapagain,39.00 ,9.00 ,1.00 ,2.00 ,0.00 ,NULL
AYIDouble/Binary-Calculator-Android-Java-App,15.00 ,5.00 ,1.00 ,1.00 ,3.00 ,Java
AYIDouble/Brainfuck-Interpreter-Node.js,10.00 ,0.00 ,1.00 ,0.00 ,2.00 ,JavaScript
Shreeshrii/tessdata_ocrb,56.00 ,12.00 ,1.00 ,0.00 ,0.00 ,Shell
Shreeshrii/tessdata_emoji,6.00 ,1.00 ,1.00 ,0.00 ,0.00 ,Shell
Shreeshrii/tessdata_arabic,22.00 ,5.00 ,1.00 ,0.00 ,0.00 ,Shell
skpandey885/HealhUb,19.00 ,36.00 ,1.00 ,0.00 ,23.00 ,HTML
lmgonzalves/jelly,111.00 ,32.00 ,1.00 ,0.00 ,2.00 ,JavaScript
lmgonzalves/letters,57.00 ,8.00 ,1.00 ,0.00 ,2.00 ,JavaScript
lmgonzalves/lmgonzalves.github.io,3.00 ,0.00 ,1.00 ,0.00 ,0.00 ,CSS
ankushKun/ankushKun,4.00 ,8.00 ,1.00 ,0.00 ,2.00 ,NULL
yashrajkakkad/AUtomate,5.00 ,2.00 ,1.00 ,1.00 ,3.00 ,Python
skpandey885/Flipkart-UI-Clone,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,HTML
jasineri/jasineri,28.00 ,37.00 ,1.00 ,0.00 ,0.00 ,NULL
Shreeshrii/tess5training-rajarajan,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Shell
jasineri/useful-commands,22.00 ,2.00 ,1.00 ,0.00 ,2.00 ,NULL
andreyscott/banner,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,HTML
aldriguz/dotnet-training,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,C#
aldriguz/SampleMVC,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,C#
ArefMq/action-recognition-via-snn,16.00 ,4.00 ,1.00 ,0.00 ,0.00 ,Python
ArefMq/SPLCommunicationTester,2.00 ,3.00 ,1.00 ,0.00 ,0.00 ,C++
AYIDouble/Decentralized-World-Wide-Web-ERC-721,13.00 ,5.00 ,1.00 ,1.00 ,2.00 ,Solidity
AYIDouble/IOTA-Arbitrage,13.00 ,6.00 ,1.00 ,0.00 ,2.00 ,JavaScript
kdeldycke/awesome-falsehood,0.00 ,469.00 ,1.00 ,1.00 ,32.00 ,NULL
byt3bl33d3r/BeEF-API,75.00 ,23.00 ,1.00 ,1.00 ,0.00 ,Python
newwebash/cat-clicker,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
newwebash/fcc-product-landing-page,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,HTML
newwebash/fcc-tribute-page,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,HTML
newwebash/portfolio-boilerplate,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
shreyassai123/NFT-Wallet,26.00 ,3.00 ,1.00 ,0.00 ,0.00 ,Swift
Hritik14/BashServerClient,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,Shell
byt3bl33d3r/CME-PowerShell-Scripts,41.00 ,30.00 ,1.00 ,1.00 ,0.00 ,PowerShell
Clueless-Community/collegeAPI,11.00 ,1.00 ,1.00 ,0.00 ,0.00 ,Python
byt3bl33d3r/DHCPShock,81.00 ,31.00 ,1.00 ,1.00 ,0.00 ,Python
byt3bl33d3r/hookme,12.00 ,5.00 ,1.00 ,0.00 ,0.00 ,C#
xchanmolx/E-CommerceApp,49.00 ,2.00 ,1.00 ,0.00 ,0.00 ,C#
EddieHubCommunity/gh-action-open-source-labels,16.00 ,18.00 ,1.00 ,0.00 ,10.00 ,NULL
EddieHubCommunity/LiveStream-GitOps-Demo,9.00 ,2.00 ,1.00 ,0.00 ,2.00 ,JavaScript
shreyashankar/datatracker,5.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
masterpranay1/form-validator,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
DeepGautamFullStack/Integrating-Chart-Js-in-Angular-7,16.00 ,8.00 ,1.00 ,0.00 ,0.00 ,TypeScript
unnat404/eCommerce,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
adil-Pathan/github-slideshow,0.00 ,0.00 ,1.00 ,0.00 ,8.00 ,Ruby
unnat404/My-DSA-Handbook,3.00 ,1.00 ,1.00 ,0.00 ,0.00 ,C++
benawad/apollo-link-state-tutorial,27.00 ,9.00 ,1.00 ,0.00 ,0.00 ,TypeScript
benawad/benawad.com,106.00 ,34.00 ,1.00 ,2.00 ,3.00 ,JavaScript
benawad/cra-redux-saga,75.00 ,41.00 ,1.00 ,0.00 ,0.00 ,JavaScript
SpaceLeft/Lavalink,1.00 ,0.00 ,1.00 ,2.00 ,2.00 ,Shell
jdrago999/AWS-S3,14.00 ,6.00 ,1.00 ,0.00 ,5.00 ,Perl
iamrajiv/helloworld-grpc-gateway,21.00 ,14.00 ,1.00 ,0.00 ,0.00 ,Go
sagesharp/code-of-conduct-template,12.00 ,9.00 ,1.00 ,0.00 ,8.00 ,NULL
openfoodfacts/.github,0.00 ,2.00 ,1.00 ,1.00 ,3.00 ,NULL
openfoodfacts/bio-codes,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,NULL
openfoodfacts/egg-codes,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,NULL
openfoodfacts/fastlane-descriptions,0.00 ,0.00 ,1.00 ,2.00 ,3.00 ,JavaScript
openfoodfacts/impactestimator,3.00 ,1.00 ,1.00 ,4.00 ,5.00 ,Python
hellofuddin/github-slideshow,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,HTML
lmgonzalves/elastic-range-input,34.00 ,7.00 ,1.00 ,0.00 ,0.00 ,CSS
mattgallagher/CwlWhitespace,26.00 ,1.00 ,1.00 ,0.00 ,0.00 ,Swift
shazow/colorlib,16.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
mattgallagher/CwlViews,166.00 ,6.00 ,1.00 ,0.00 ,3.00 ,Swift
saniya44/github-slideshow,0.00 ,0.00 ,1.00 ,3.00 ,8.00 ,Ruby
lengstrom/blog,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,HTML
lengstrom/Dangerous-Chef-Pioneer,5.00 ,605.00 ,1.00 ,0.00 ,0.00 ,JavaScript
cyborgboy/intro-to-semgrep,0.00 ,0.00 ,1.00 ,1.00 ,2.00 ,TypeScript
PragneshRamani/Coursera--Using-Databases-with-Python,24.00 ,60.00 ,1.00 ,2.00 ,0.00 ,JavaScript
iamshaunjp/bootstrap-4-playlist,66.00 ,90.00 ,1.00 ,2.00 ,0.00 ,NULL
